id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts
8,2019-11-01,3,298261,8,40,17,6.0,2.0,0.0,0.0,New Zealand,3,89.92317
1,2019-11-02,3,298262,1,12,32,0.0,0.0,2.0,0.0,England,1,92.28923
5,2019-11-02,3,298262,5,32,12,2.0,2.0,2.0,0.0,South Africa,2,90.71279
5,2019-10-27,3,298260,5,19,16,1.0,1.0,2.0,0.0,South Africa,4,88.548485
85,2019-11-02,1,303988,85,38,9,,,,,Austria,88,32.555595000000004
4,2019-11-01,3,298261,4,17,40,2.0,2.0,1.0,0.0,Wales,4,87.20569
4,2019-10-27,3,298260,4,16,19,1.0,1.0,2.0,0.0,Wales,3,89.36999
68,2019-11-02,1,303988,68,9,38,,,,,Norway,97,28.744581
31,2019-11-02,1,303987,31,0,13,,,,,Sweden,47,46.85055
61,2019-11-02,1,303987,61,13,0,,,,,Luxembourg,61,41.570423
88,2019-10-26,1,303985,88,3,51,,,,,Bosnia and Herzegovina,-1,-1.0
13,2019-11-02,1,303986,13,15,35,,,,,Poland,35,50.59385
7,2019-11-02,1,303986,7,35,15,,,,,Germany,28,54.963875
41,2019-10-26,1,303985,41,51,3,,,,,Bulgaria,82,34.17499
87,2019-10-26,1,303983,87,22,26,,,,,Latvia,60,41.713524
9,2019-10-20,3,298257,9,19,20,3.0,2.0,0.0,0.0,France,8,81.377716
1,2019-10-26,3,298259,1,19,7,1.0,1.0,2.0,0.0,England,2,89.74458
30,2019-10-26,1,303984,30,22,0,,,,,Denmark,74,36.78569
31,2019-10-26,1,303983,31,26,22,,,,,Sweden,50,45.976887
4,2019-10-20,3,298257,4,20,19,2.0,2.0,2.0,0.0,Wales,2,88.86806
8,2019-10-26,3,298259,8,7,19,1.0,1.0,0.0,0.0,New Zealand,1,92.46781
74,2019-10-26,1,303984,74,0,22,,,,,Finland,86,33.581203
61,2019-10-19,1,303978,61,7,36,,,,,Luxembourg,57,42.545437
91,2019-10-19,1,303978,91,36,7,,,,,Czechia,38,49.04533
3,2019-10-19,3,298256,3,14,46,2.0,1.0,0.0,0.0,Ireland,4,85.929085
23,2019-10-20,1,298258,23,3,26,0.0,0.0,1.0,0.0,Japan,7,82.08331
84,2019-10-26,1,303982,84,27,10,,,,,Ukraine,38,49.25176
8,2019-10-19,3,298256,8,46,14,7.0,2.0,1.0,0.0,New Zealand,1,90.98441
5,2019-10-20,1,298258,5,26,3,3.0,1.0,2.0,0.0,South Africa,5,85.74785
90,2019-10-26,1,303982,90,10,27,,,,,Lithuania,37,49.447727
86,2019-10-19,1,303980,86,28,28,,,,,Slovenia,71,37.772102000000004
6,2019-10-19,3,298255,6,16,40,1.0,1.0,2.0,0.0,Australia,6,83.51586999999999
1,2019-10-19,3,298255,1,40,16,4.0,2.0,2.0,0.0,England,3,88.12832
72,2019-10-19,1,303980,72,28,28,,,,,Israel,61,41.775604
15,2019-09-30,3,298232,15,0,34,0.0,0.0,0.0,0.0,Samoa,15,70.79806500000001
2,2019-09-30,3,298232,2,34,0,4.0,2.0,1.0,1.0,Scotland,9,80.54128
2,2019-08-24,1,299235,2,17,14,2.0,2.0,1.0,0.0,Scotland,8,79.01078000000001
42,2019-08-24,1,302361,42,32,26,,,,,Zimbabwe,33,51.41865
9,2019-08-24,1,299235,9,14,17,2.0,2.0,0.0,0.0,France,7,80.57951
39,2019-08-24,1,302361,39,26,32,,,,,Uganda,42,47.62342
45,2019-08-23,1,303234,45,89,7,,,,,Papua New Guinea,85,33.267494
303673,2019-08-23,1,303234,303673,7,89,,,,,Nauru,-1,-1.0
